Date,Open,High,Low,Close,Volume,return_feat,return_target,log_return,high_return
2015-08-03,90.0,90.0,90.0,90.0,0,0.0,0.0,0.0,0.0
2015-08-04,87.0,87.0,80.0,84.25,5300,-0.06388888888888888,-0.06388888888888888,-0.06602110109779395,-0.03333333333333333
2015-08-05,84.25,84.25,84.25,84.25,0,0.0,0.0,0.0,0.0
2015-08-06,84.25,84.25,84.25,84.25,0,0.0,0.0,0.0,0.0
2015-08-07,85.0,85.0,85.0,85.0,100,0.008902077151335312,0.008902077151335312,0.008862687257845324,0.008902077151335312
2015-08-10,85.0,85.0,85.0,85.0,0,0.0,0.0,0.0,0.0
2015-08-11,85.0,85.0,85.0,85.0,0,0.0,0.0,0.0,0.0
2015-08-13,85.0,85.0,85.0,85.0,800,0.0,0.0,0.0,0.0
2015-08-14,85.0,85.0,85.0,85.0,0,0.0,0.0,0.0,0.0
2015-08-17,85.0,85.0,85.0,85.0,0,0.0,0.0,0.0,0.0
2015-08-18,85.0,85.0,84.75,84.75,1500,-0.0029411764705882353,-0.0029411764705882353,-0.002945510229756803,0.0
2015-08-19,84.75,84.75,84.75,84.75,0,0.0,0.0,0.0,0.0
2015-08-20,84.75,84.75,84.75,84.75,0,0.0,0.0,0.0,0.0
2015-08-21,88.0,88.0,88.0,88.0,200,0.038348082595870206,0.038348082595870206,0.037631068217646814,0.038348082595870206
2015-08-24,88.0,88.0,85.0,85.0,1600,-0.03409090909090909,-0.03409090909090909,-0.034685557987889984,0.0
2015-08-25,85.0,85.0,85.0,85.0,0,0.0,0.0,0.0,0.0
2015-08-26,89.0,89.0,89.0,89.0,400,0.047058823529411764,0.047058823529411764,0.04598511324182344,0.047058823529411764
2015-08-27,89.0,89.0,89.0,89.0,0,0.0,0.0,0.0,0.0
2015-08-28,85.0,85.0,85.0,85.0,100,-0.0449438202247191,-0.0449438202247191,-0.04598511324182338,-0.0449438202247191
2015-08-31,86.75,86.75,86.75,86.75,100,0.020588235294117647,0.020588235294117647,0.020379162336652046,0.020588235294117647
2015-09-01,86.75,86.75,86.75,86.75,0,0.0,0.0,0.0,0.0
2015-09-02,86.75,86.75,86.75,86.75,0,0.0,0.0,0.0,0.0
2015-09-03,86.75,86.75,86.75,86.75,0,0.0,0.0,0.0,0.0
2015-09-04,86.75,86.75,86.75,86.75,0,0.0,0.0,0.0,0.0
2015-09-07,86.75,86.75,86.75,86.75,0,0.0,0.0,0.0,0.0
2015-09-08,86.75,86.75,86.75,86.75,0,0.0,0.0,0.0,0.0
2015-09-09,85.0,85.0,84.0,85.0,14200,-0.020172910662824207,-0.020172910662824207,-0.02037916233665214,-0.020172910662824207
2015-09-10,85.0,85.0,85.0,85.0,1100,0.0,0.0,0.0,0.0
2015-09-11,87.0,87.0,85.5,85.5,200,0.0058823529411764705,0.0058823529411764705,0.005865119452398058,0.023529411764705882
2015-09-14,85.0,85.25,85.0,85.25,200,-0.0029239766081871343,-0.0029239766081871343,-0.002928259779088334,-0.0029239766081871343
2015-09-15,87.0,89.5,87.0,89.0,1400,0.04398826979472141,0.04398826979472141,0.04304825356851363,0.04985337243401759
2015-09-16,90.0,90.0,90.0,90.0,100,0.011235955056179775,0.011235955056179775,0.011173300598125255,0.011235955056179775
2015-09-17,90.0,90.0,90.0,90.0,0,0.0,0.0,0.0,0.0
2015-09-18,90.0,90.0,90.0,90.0,0,0.0,0.0,0.0,0.0
2015-09-21,90.0,90.0,90.0,90.0,0,0.0,0.0,0.0,0.0
2015-09-22,90.0,90.0,90.0,90.0,0,0.0,0.0,0.0,0.0
2015-09-23,90.0,90.0,90.0,90.0,0,0.0,0.0,0.0,0.0
2015-09-24,90.0,90.0,90.0,90.0,0,0.0,0.0,0.0,0.0
2015-09-25,86.5,86.5,86.5,86.5,500,-0.03888888888888889,-0.03888888888888889,-0.0396652563924314,-0.03888888888888889
2015-09-28,86.0,86.0,85.0,85.0,1800,-0.017341040462427744,-0.017341040462427744,-0.01749315744751723,-0.005780346820809248
2015-09-29,84.75,84.75,84.75,84.75,100,-0.0029411764705882353,-0.0029411764705882353,-0.002945510229756803,-0.0029411764705882353
2015-09-30,84.5,84.5,84.0,84.0,3400,-0.008849557522123894,-0.008849557522123894,-0.00888894741724604,-0.0029498525073746312
2015-10-01,84.0,84.0,84.0,84.0,0,0.0,0.0,0.0,0.0
2015-10-02,84.5,84.5,84.0,84.0,900,0.0,0.0,0.0,0.005952380952380952
2015-10-05,84.5,84.75,84.0,84.75,2500,0.008928571428571428,0.008928571428571428,0.008888947417245994,0.008928571428571428
