sector,industry,symbol,ticker,bb_name
Industrials,Engineering & Construction,SQ.BK,SQ.BK,SQ_TB
Consumer Defensive,Beverages—Non-Alcoholic,SSC.BK,SSC.BK,SSC_TB
Basic Materials,Steel,SSSC.BK,SSSC.BK,SSSC_TB
Consumer Defensive,Packaged Foods,SST.BK,SST.BK,SST_TB
Industrials,Electrical Equipment & Parts,STARK.BK,STARK.BK,STARK_TB
Basic Materials,Specialty Chemicals,STGT.BK,STGT.BK,STGT_TB
Industrials,Conglomerates,SUC.BK,SUC.BK,SUC_TB
Technology,Electronic Components,SVI.BK,SVI.BK,SVI_TB
Industrials,Engineering & Construction,SYNTEC.BK,SYNTEC.BK,SYNTEC_TB
Industrials,Specialty Business Services,TBSP.BK,TBSP.BK,TBSP_TB
Technology,Electronic Components,TEAM.BK,TEAM.BK,TEAM_TB
Financial Services,Insurance—Diversified,TGH.BK,TGH.BK,TGH_TB
Financial Services,Insurance—Reinsurance,THREL.BK,THREL.BK,THREL_TB
Basic Materials,Steel,TMT.BK,TMT.BK,TMT_TB
Financial Services,Capital Markets,TNITY.BK,TNITY.BK,TNITY_TB
Consumer Cyclical,Apparel Manufacturing,TNL.BK,TNL.BK,TNL_TB
Consumer Defensive,Household & Personal Products,TNR.BK,TNR.BK,TNR_TB
Healthcare,Medical Instruments & Supplies,TOG.BK,TOG.BK,TOG_TB
Consumer Cyclical,Packaging & Containers,TPBI.BK,TPBI.BK,TPBI_TB
Consumer Cyclical,Textile Manufacturing,TPCORP.BK,TPCORP.BK,TPCORP_TB
Basic Materials,Building Materials,TPIPL.BK,TPIPL.BK,TPIPL_TB
Consumer Cyclical,Packaging & Containers,TPP.BK,TPP.BK,TPP_TB
Consumer Cyclical,Auto Parts,TRU.BK,TRU.BK,TRU_TB
Basic Materials,Steel,TSTH.BK,TSTH.BK,TSTH_TB
Consumer Cyclical,Textile Manufacturing,UPF.BK,UPF.BK,UPF_TB
Basic Materials,Lumber & Wood Production,VNG.BK,VNG.BK,VNG_TB
Consumer Cyclical,Apparel Manufacturing,WACOAL.BK,WACOAL.BK,WACOAL_TB
Real Estate,Real Estate—Development,A.BK,A.BK,A_TB
Consumer Defensive,Household & Personal Products,APCO.BK,APCO.BK,APCO_TB
Industrials,Metal Fabrication,APCS.BK,APCS.BK,APCS_TB
Real Estate,Real Estate—Development,CGD.BK,CGD.BK,CGD_TB
Consumer Defensive,Farm Products,CPI.BK,CPI.BK,CPI_TB
Technology,Electronics & Computer Distribution,CPW.BK,CPW.BK,CPW_TB
Industrials,Rental & Leasing Services,CRANE.BK,CRANE.BK,CRANE_TB
Industrials,Building Products & Equipment,DCC.BK,DCC.BK,DCC_TB
Basic Materials,Specialty Chemicals,EASON.BK,EASON.BK,EASON_TB
Real Estate,Real Estate—Development,ESTAR.BK,ESTAR.BK,ESTAR_TB
Financial Services,Asset Management,FNS.BK,FNS.BK,FNS_TB
Technology,Electronic Components,FORTH.BK,FORTH.BK,FORTH_TB
Financial Services,Capital Markets,GBX.BK,GBX.BK,GBX_TB
Basic Materials,Building Materials,GEL.BK,GEL.BK,GEL_TB
Real Estate,Real Estate—Development,GLAND.BK,GLAND.BK,GLAND_TB
Real Estate,Real Estate Services,GREEN.BK,GREEN.BK,GREEN_TB
Industrials,Tools & Accessories,HTECH.BK,HTECH.BK,HTECH_TB
Industrials,Specialty Industrial Machinery,KKC.BK,KKC.BK,KKC_TB
Consumer Cyclical,Residential Construction,KWG.BK,KWG.BK,KWG_TB
Consumer Cyclical,Lodging,LRH.BK,LRH.BK,LRH_TB
Communication Services,Entertainment,MATCH.BK,MATCH.BK,MATCH_TB
Real Estate,Real Estate—Development,MDX.BK,MDX.BK,MDX_TB
Real Estate,Real Estate—Diversified,NCH.BK,NCH.BK,NCH_TB
Industrials,Conglomerates,NNCL.BK,NNCL.BK,NNCL_TB
Real Estate,Real Estate Services,NVD.BK,NVD.BK,NVD_TB
Consumer Cyclical,Lodging,OHTL.BK,OHTL.BK,OHTL_TB
Consumer Cyclical,Luxury Goods,PDJ.BK,PDJ.BK,PDJ_TB
Industrials,Rental & Leasing Services,PE.BK,PE.BK,PE_TB
Consumer Cyclical,Apparel Manufacturing,PG.BK,PG.BK,PG_TB
Basic Materials,Agricultural Inputs,PMTA.BK,PMTA.BK,PMTA_TB
Industrials,Pollution & Treatment Controls,PPP.BK,PPP.BK,PPP_TB
Utilities,Utilities—Renewable,PRIME.BK,PRIME.BK,PRIME_TB
Real Estate,Real Estate—Development,PRIN.BK,PRIN.BK,PRIN_TB
Technology,Information Technology Services,PT.BK,PT.BK,PT_TB
Consumer Cyclical,Footwear & Accessories,RSP.BK,RSP.BK,RSP_TB
Industrials,Engineering & Construction,RT.BK,RT.BK,RT_TB
Utilities,Utilities—Regulated Electric,SCG.BK,SCG.BK,SCG_TB
Communication Services,Telecom Services,SDC.BK,SDC.BK,SDC_TB
Consumer Cyclical,Auto Parts,SITHAI.BK,SITHAI.BK,SITHAI_TB
Healthcare,Medical Care Facilities,SKR.BK,SKR.BK,SKR_TB
Technology,Semiconductors,SMT.BK,SMT.BK,SMT_TB
Technology,Solar,SOLAR.BK,SOLAR.BK,SOLAR_TB
Basic Materials,Chemicals,SUTHA.BK,SUTHA.BK,SUTHA_TB
Basic Materials,Chemicals,TAE.BK,TAE.BK,TAE_TB
Industrials,Farm & Heavy Construction Machinery,TCJ.BK,TCJ.BK,TCJ_TB
Consumer Cyclical,Packaging & Containers,TFI.BK,TFI.BK,TFI_TB
Basic Materials,Steel,TGPRO.BK,TGPRO.BK,TGPRO_TB
Healthcare,Medical Care Facilities,THG.BK,THG.BK,THG_TB
Financial Services,Credit Services,TK.BK,TK.BK,TK_TB
Consumer Cyclical,Auto Parts,TKT.BK,TKT.BK,TKT_TB
Basic Materials,Specialty Chemicals,TPA.BK,TPA.BK,TPA_TB
Basic Materials,Specialty Chemicals,TRUBB.BK,TRUBB.BK,TRUBB_TB
Consumer Cyclical,Auto Parts,TSC.BK,TSC.BK,TSC_TB
Technology,Consumer Electronics,TSR.BK,TSR.BK,TSR_TB
Consumer Defensive,Farm Products,TSTE.BK,TSTE.BK,TSTE_TB
Industrials,Engineering & Construction,TTCL.BK,TTCL.BK,TTCL_TB
Consumer Cyclical,Textile Manufacturing,TTI.BK,TTI.BK,TTI_TB
Consumer Cyclical,Textile Manufacturing,TTT.BK,TTT.BK,TTT_TB
Industrials,Building Products & Equipment,UMI.BK,UMI.BK,UMI_TB
Financial Services,Capital Markets,UOBKH.BK,UOBKH.BK,UOBKH_TB
Consumer Defensive,Packaged Foods,VPO.BK,VPO.BK,VPO_TB
Consumer Cyclical,Lodging,VRANDA.BK,VRANDA.BK,VRANDA_TB
Financial Services,Capital Markets,ZMICO.BK,ZMICO.BK,ZMICO_TB
Industrials,Infrastructure Operations,000008.SZ,000008.SZ,000008_CH
Technology,Information Technology Services,000034.SZ,000034.SZ,000034_CH
Industrials,Rental & Leasing Services,000415.SZ,000415.SZ,000415_CH
Utilities,Utilities—Regulated Electric,000543.SZ,000543.SZ,000543_CH
Consumer Cyclical,Department Stores,000564.SZ,000564.SZ,000564_CH
