Date,Open,High,Low,Close
2017-10-17,90.75,91.0,90.25,90.25
2017-10-18,90.5,91.0,90.25,90.25
2017-10-19,90.25,91.0,90.0,90.0
2017-10-20,90.0,90.0,90.0,90.0
2017-10-24,90.0,91.0,90.0,91.0
2017-10-25,90.0,90.0,88.25,90.0
2017-10-27,88.5,91.0,88.5,91.0
2017-10-30,91.0,91.0,91.0,91.0
2017-10-31,88.5,89.5,88.5,89.25
2017-11-01,89.25,91.0,88.25,90.0
2017-11-02,88.5,88.5,88.25,88.5
2017-11-03,88.5,88.5,87.75,88.0
2017-11-06,88.0,88.0,88.0,88.0
2017-11-07,88.0,88.0,88.0,88.0
2017-11-08,88.0,88.0,88.0,88.0
2017-11-09,88.25,88.5,87.0,88.5
2017-11-10,88.0,89.0,88.0,89.0
2017-11-13,88.0,88.0,88.0,88.0
2017-11-14,91.0,94.5,90.0,94.0
2017-11-15,94.0,96.0,93.0,96.0
2017-11-16,98.0,98.0,97.0,97.0
2017-11-17,96.0,96.0,94.0,95.5
2017-11-20,97.25,97.25,97.25,97.25
2017-11-21,95.25,95.25,95.25,95.25
2017-11-22,95.25,95.25,95.25,95.25
2017-11-23,95.25,95.25,95.25,95.25
2017-11-24,95.5,96.0,95.5,96.0
2017-11-27,96.0,96.0,96.0,96.0
2017-11-28,96.0,96.0,96.0,96.0
2017-11-29,96.0,96.0,96.0,96.0
2017-11-30,96.0,96.0,96.0,96.0
2017-12-01,96.0,97.0,96.0,97.0
2017-12-04,97.0,97.0,97.0,97.0
2017-12-06,97.0,97.0,97.0,97.0
2017-12-07,96.0,96.0,96.0,96.0
2017-12-08,96.0,96.0,96.0,96.0
2017-12-12,96.0,96.0,96.0,96.0
2017-12-13,97.0,97.0,97.0,97.0
2017-12-14,96.0,96.0,95.25,95.75
2017-12-15,95.0,95.75,95.0,95.75
2017-12-18,95.0,95.0,94.5,95.0
2017-12-19,95.0,95.0,95.0,95.0
2017-12-20,94.5,94.5,93.5,93.75
2017-12-21,93.75,93.75,93.5,93.5
2017-12-22,93.5,93.5,93.5,93.5
2017-12-25,93.5,93.5,93.5,93.5
2017-12-26,93.5,93.5,93.5,93.5
2017-12-27,93.5,93.5,93.5,93.5
2017-12-28,93.5,93.5,93.5,93.5
2017-12-29,93.5,93.5,93.5,93.5
2018-01-03,98.0,98.0,94.0,94.5
2018-01-04,95.0,95.0,95.0,95.0
2018-01-05,95.25,96.5,95.25,96.25
2018-01-08,96.5,96.5,96.5,96.5
2018-01-09,96.5,96.5,96.5,96.5
2018-01-10,94.0,94.0,94.0,94.0
2018-01-11,96.5,97.0,96.5,97.0
2018-01-12,96.5,97.0,96.5,97.0
2018-01-15,97.0,97.0,97.0,97.0
2018-01-16,97.0,97.0,97.0,97.0
2018-01-17,97.25,97.5,97.25,97.5
2018-01-18,100.0,105.0,98.0,98.0
2018-01-19,96.0,97.0,96.0,97.0
2018-01-22,97.0,97.0,97.0,97.0
2018-01-23,111.5,111.5,97.25,99.0
2018-01-24,100.0,100.0,97.0,99.0
2018-01-25,99.0,99.75,98.0,99.75
2018-01-26,98.0,98.0,97.25,97.5
2018-01-29,99.0,99.0,97.5,97.5
2018-01-30,97.0,98.0,95.0,98.0
2018-01-31,97.75,99.0,97.75,99.0
2018-02-01,99.0,99.5,99.0,99.5
2018-02-02,99.0,99.0,99.0,99.0
2018-02-05,95.5,98.0,95.5,98.0
2018-02-06,97.0,98.0,95.0,97.25
2018-02-07,97.25,97.25,97.25,97.25
2018-02-08,97.25,97.25,94.0,95.75
2018-02-09,96.0,96.0,96.0,96.0
2018-02-12,96.0,96.0,95.75,95.75
2018-02-13,96.5,96.5,96.5,96.5
2018-02-14,97.0,97.0,96.5,96.5
2018-02-15,96.5,96.5,96.5,96.5
2018-02-16,98.0,98.75,98.0,98.75
2018-02-19,98.75,98.75,98.75,98.75
2018-02-20,98.75,98.75,98.75,98.75
2018-02-21,98.75,98.75,98.75,98.75
2018-02-22,96.75,97.25,96.5,97.25
2018-02-23,100.0,100.0,97.25,97.25
2018-02-26,97.25,97.25,97.25,97.25
2018-02-27,95.0,95.0,95.0,95.0
2018-02-28,95.0,95.0,95.0,95.0
2018-03-02,95.0,95.0,95.0,95.0
2018-03-05,95.0,95.0,95.0,95.0
2018-03-06,95.0,95.0,95.0,95.0
2018-03-07,95.0,95.0,95.0,95.0
2018-03-08,95.0,95.0,95.0,95.0
2018-03-09,93.0,93.0,93.0,93.0
2018-03-12,94.0,94.0,94.0,94.0
2018-03-13,93.0,93.25,93.0,93.25
2018-03-14,94.0,94.0,94.0,94.0
2018-03-15,94.0,94.0,94.0,94.0
2018-03-16,94.0,94.0,94.0,94.0
2018-03-19,94.0,94.0,94.0,94.0
2018-03-20,94.0,94.0,94.0,94.0
2018-03-21,94.0,94.0,94.0,94.0
2018-03-22,81.25,93.5,81.0,91.5
2018-03-23,91.5,91.5,91.5,91.5
2018-03-26,91.5,91.5,91.5,91.5
2018-03-27,91.5,91.5,91.5,91.5
2018-03-28,91.0,91.0,90.5,90.5
2018-03-29,91.0,92.25,90.75,90.75
2018-03-30,92.0,92.0,92.0,92.0
2018-04-02,92.0,92.0,90.25,92.0
2018-04-03,92.0,92.0,90.0,90.0
2018-04-04,90.0,92.0,88.0,90.25
2018-04-05,91.75,91.75,91.75,91.75
2018-04-09,92.0,92.0,91.5,91.5
2018-04-10,91.5,91.5,91.5,91.5
2018-04-11,91.5,91.5,91.5,91.5
2018-04-12,91.5,91.5,91.5,91.5
2018-04-17,91.5,91.5,91.5,91.5
2018-04-18,91.5,91.5,91.0,91.0
2018-04-19,91.0,91.0,91.0,91.0
2018-04-20,90.25,91.75,90.25,91.75
2018-04-23,91.75,91.75,91.75,91.75
2018-04-24,91.75,91.75,91.75,91.75
2018-04-25,91.5,92.0,91.5,92.0
2018-04-26,92.0,92.0,92.0,92.0
2018-04-27,92.0,92.0,91.5,91.5
2018-04-30,92.0,92.0,90.5,90.5
2018-05-02,93.5,93.5,91.25,91.25
2018-05-03,92.0,92.0,92.0,92.0
2018-05-04,92.0,92.0,92.0,92.0
2018-05-07,92.0,92.0,90.75,90.75
2018-05-08,90.75,90.75,90.75,90.75
2018-05-09,90.25,90.75,90.0,90.25
2018-05-10,90.25,90.25,90.25,90.25
2018-05-11,92.0,92.0,91.5,91.5
2018-05-14,91.75,91.75,91.75,91.75
2018-05-15,91.75,91.75,91.75,91.75
2018-05-16,91.75,91.75,91.75,91.75
2018-05-17,94.0,94.0,94.0,94.0
2018-05-18,94.0,94.0,94.0,94.0
2018-05-21,93.0,94.0,93.0,94.0
2018-05-22,94.0,94.0,94.0,94.0
2018-05-23,94.0,94.0,94.0,94.0
2018-05-24,94.25,94.5,94.25,94.5
2018-05-25,94.0,94.5,94.0,94.5
2018-05-28,94.5,94.5,94.5,94.5
2018-05-30,94.5,94.5,94.5,94.5
2018-05-31,95.0,95.0,94.5,94.5
2018-06-01,94.0,95.5,94.0,94.25
2018-06-04,94.5,94.5,94.5,94.5
2018-06-05,94.5,94.5,94.5,94.5
2018-06-06,94.75,95.75,94.75,95.75
2018-06-07,95.75,95.75,95.75,95.75
2018-06-08,95.75,95.75,95.75,95.75
2018-06-11,95.0,96.0,94.5,95.0
2018-06-12,94.75,95.25,94.75,95.0
2018-06-13,95.0,95.0,94.5,95.0
2018-06-14,95.25,95.25,95.25,95.25
2018-06-15,95.5,95.5,95.25,95.25
2018-06-18,95.25,95.25,95.25,95.25
2018-06-19,94.0,94.25,94.0,94.25
2018-06-20,94.25,94.25,94.25,94.25
2018-06-21,94.25,94.25,94.25,94.25
2018-06-22,94.25,94.25,94.25,94.25
2018-06-25,94.5,94.75,94.5,94.75
2018-06-26,95.0,95.0,94.25,94.25
2018-06-27,94.25,94.25,94.25,94.25
2018-06-28,94.5,94.75,94.0,94.75
2018-06-29,94.5,94.5,94.5,94.5
2018-07-02,94.5,94.5,94.5,94.5
2018-07-03,94.5,94.5,94.5,94.5
2018-07-04,94.5,94.5,92.25,92.5
2018-07-05,92.5,92.5,90.75,90.75
2018-07-06,90.25,90.25,90.25,90.25
2018-07-09,89.5,89.5,89.5,89.5
2018-07-10,88.75,91.0,88.75,90.75
2018-07-11,93.0,96.0,92.25,92.25
2018-07-12,94.0,97.0,93.25,93.25
